checkpoint	maximum_f32_vs_rust_absolute_error	maximum_f32_vs_rust_relative_error
layer0_expert_output_t0_p0_e62	4.32133674621582031e-7	6.19923812337219715e-4
layer0_expert_output_t0_p1_e21	2.08616256713867188e-7	6.63818733301013708e-4
layer0_expert_output_t0_p2_e75	2.30967998504638672e-7	2.15514190495014191e-3
layer0_expert_output_t0_p3_e87	1.01327896118164062e-6	1.16324017290025949e-3
layer0_expert_output_t0_p4_e36	1.93715095520019531e-7	1.35126980021595955e-2
layer0_expert_output_t0_p5_e126	1.97440385818481445e-7	1.03790611028671265e-2
layer0_expert_output_t0_p6_e34	3.27825546264648438e-7	7.67061769962310791e-1
layer0_expert_output_t0_p7_e91	2.16066837310791016e-7	1.33207277394831181e-3
layer0_expert_output_t1_p0_e114	9.53674316406250000e-7	1.28268939442932606e-3
layer0_expert_output_t1_p1_e44	2.38418579101562500e-7	4.25731437280774117e-3
layer0_expert_output_t1_p2_e26	3.57627868652343750e-7	2.06896103918552399e-3
layer0_expert_output_t1_p3_e65	2.74181365966796875e-6	2.91807064786553383e-3
layer0_expert_output_t1_p4_e59	3.57627868652343750e-7	1.75946727395057678e-2
layer0_expert_output_t1_p5_e104	2.39815562963485718e-7	3.74076282605528831e-3
layer0_expert_output_t1_p6_e83	1.26659870147705078e-7	6.82005332782864571e-3
layer0_expert_output_t1_p7_e69	5.66244125366210938e-7	1.95317249745130539e-2
layer0_expert_output_t2_p0_e87	3.57627868652343750e-7	4.61659533903002739e-3
layer0_expert_output_t2_p1_e105	1.78813934326171875e-7	5.25819323956966400e-3
layer0_expert_output_t2_p2_e110	2.53319740295410156e-7	1.40442978590726852e-2
layer0_expert_output_t2_p3_e91	1.93715095520019531e-7	1.45771699026226997e-2
layer0_expert_output_t2_p4_e25	3.72529029846191406e-7	6.94434046745300293e-2
layer0_expert_output_t2_p5_e54	1.08033418655395508e-7	1.46644106134772301e-2
layer0_expert_output_t2_p6_e41	1.22003257274627686e-7	2.22123763523995876e-3
layer0_expert_output_t2_p7_e21	3.20374965667724609e-7	2.64645856805145741e-3
layer0_expert_output_t3_p0_e98	4.76837158203125000e-7	1.74294710159301758e-2
layer0_expert_output_t3_p1_e65	1.72853469848632812e-6	2.79333116486668587e-3
layer0_expert_output_t3_p2_e99	2.01165676116943359e-7	3.20603279396891594e-3
layer0_expert_output_t3_p3_e114	1.07288360595703125e-6	8.80816876888275146e-2
layer0_expert_output_t3_p4_e100	4.76837158203125000e-7	3.72774973511695862e-2
layer0_expert_output_t3_p5_e72	1.53406290337443352e-7	6.77302991971373558e-3
layer0_expert_output_t3_p6_e40	3.12924385070800781e-7	4.71924506127834320e-2
layer0_expert_output_t3_p7_e96	3.01748514175415039e-7	3.55059131979942322e-2
layer0_moe_output	7.15255737304687500e-7	2.69684568047523499e-3
layer0_block_output	1.90734863281250000e-6	1.00812101736664772e-2
cache	hits=0	misses=27	loads=27	evictions=26	resident_bytes=18874368	peak_resident_bytes=18874368	bytes_read=509607936
