record	layer	token	position	expert	role	shape	orientation	source_name	source_shard	source_offset	source_length	artifact_path	artifact_payload_offset	artifact_projection_offset	artifact_projection_length	aggregation_experts
projection	0	0	0	62	gate	768,2048	output_by_input	model.layers.0.mlp.experts.62.gate_proj.weight	0	1446645408	3145728	experts/experts-layer-00000-of-00048.bin	1170210816	0	6291456	62,21,75,87,36,126,34,91
projection	0	0	0	62	up	768,2048	output_by_input	model.layers.0.mlp.experts.62.up_proj.weight	0	1449791136	3145728	experts/experts-layer-00000-of-00048.bin	1170210816	6291456	6291456	62,21,75,87,36,126,34,91
projection	0	0	0	62	down	2048,768	output_by_intermediate	model.layers.0.mlp.experts.62.down_proj.weight	0	1443499680	3145728	experts/experts-layer-00000-of-00048.bin	1170210816	12582912	6291456	62,21,75,87,36,126,34,91
projection	0	0	7	91	gate	768,2048	output_by_input	model.layers.0.mlp.experts.91.gate_proj.weight	0	1748635296	3145728	experts/experts-layer-00000-of-00048.bin	1717567488	0	6291456	62,21,75,87,36,126,34,91
projection	0	0	7	91	up	768,2048	output_by_input	model.layers.0.mlp.experts.91.up_proj.weight	0	1751781024	3145728	experts/experts-layer-00000-of-00048.bin	1717567488	6291456	6291456	62,21,75,87,36,126,34,91
projection	0	0	7	91	down	2048,768	output_by_intermediate	model.layers.0.mlp.experts.91.down_proj.weight	0	1745489568	3145728	experts/experts-layer-00000-of-00048.bin	1717567488	12582912	6291456	62,21,75,87,36,126,34,91
projection	1	0	0	68	gate	768,2048	output_by_input	model.layers.1.mlp.experts.68.gate_proj.weight	0	2749509792	3145728	experts/experts-layer-00001-of-00048.bin	1283457024	0	6291456	68,114,55,90,0,9,30,127
projection	1	0	0	68	up	768,2048	output_by_input	model.layers.1.mlp.experts.68.up_proj.weight	0	2752655520	3145728	experts/experts-layer-00001-of-00048.bin	1283457024	6291456	6291456	68,114,55,90,0,9,30,127
projection	1	0	0	68	down	2048,768	output_by_intermediate	model.layers.1.mlp.experts.68.down_proj.weight	0	2746364064	3145728	experts/experts-layer-00001-of-00048.bin	1283457024	12582912	6291456	68,114,55,90,0,9,30,127
projection	1	0	7	127	gate	768,2048	output_by_input	model.layers.1.mlp.experts.127.gate_proj.weight	0	2173841568	3145728	experts/experts-layer-00001-of-00048.bin	2397044736	0	6291456	68,114,55,90,0,9,30,127
projection	1	0	7	127	up	768,2048	output_by_input	model.layers.1.mlp.experts.127.up_proj.weight	0	2176987296	3145728	experts/experts-layer-00001-of-00048.bin	2397044736	6291456	6291456	68,114,55,90,0,9,30,127
projection	1	0	7	127	down	2048,768	output_by_intermediate	model.layers.1.mlp.experts.127.down_proj.weight	0	2170695840	3145728	experts/experts-layer-00001-of-00048.bin	2397044736	12582912	6291456	68,114,55,90,0,9,30,127
projection	24	1	0	85	gate	768,2048	output_by_input	model.layers.24.mlp.experts.85.gate_proj.weight	7	3596800912	3145728	experts/experts-layer-00024-of-00048.bin	1604321280	0	6291456	85,65,28,50,24,105,78,8
projection	24	1	0	85	up	768,2048	output_by_input	model.layers.24.mlp.experts.85.up_proj.weight	7	3599946640	3145728	experts/experts-layer-00024-of-00048.bin	1604321280	6291456	6291456	85,65,28,50,24,105,78,8
projection	24	1	0	85	down	2048,768	output_by_intermediate	model.layers.24.mlp.experts.85.down_proj.weight	7	3593655184	3145728	experts/experts-layer-00024-of-00048.bin	1604321280	12582912	6291456	85,65,28,50,24,105,78,8
projection	24	1	7	8	gate	768,2048	output_by_input	model.layers.24.mlp.experts.8.gate_proj.weight	7	3540177808	3145728	experts/experts-layer-00024-of-00048.bin	150994944	0	6291456	85,65,28,50,24,105,78,8
projection	24	1	7	8	up	768,2048	output_by_input	model.layers.24.mlp.experts.8.up_proj.weight	7	3543323536	3145728	experts/experts-layer-00024-of-00048.bin	150994944	6291456	6291456	85,65,28,50,24,105,78,8
projection	24	1	7	8	down	2048,768	output_by_intermediate	model.layers.24.mlp.experts.8.down_proj.weight	7	3537032080	3145728	experts/experts-layer-00024-of-00048.bin	150994944	12582912	6291456	85,65,28,50,24,105,78,8
projection	47	0	0	54	gate	768,2048	output_by_input	model.layers.47.mlp.experts.54.gate_proj.weight	14	3694314984	3145728	experts/experts-layer-00047-of-00048.bin	1019215872	0	6291456	54,32,73,34,85,111,117,36
projection	47	0	0	54	up	768,2048	output_by_input	model.layers.47.mlp.experts.54.up_proj.weight	14	3697460712	3145728	experts/experts-layer-00047-of-00048.bin	1019215872	6291456	6291456	54,32,73,34,85,111,117,36
projection	47	0	0	54	down	2048,768	output_by_intermediate	model.layers.47.mlp.experts.54.down_proj.weight	14	3691169256	3145728	experts/experts-layer-00047-of-00048.bin	1019215872	12582912	6291456	54,32,73,34,85,111,117,36
projection	47	0	7	36	gate	768,2048	output_by_input	model.layers.47.mlp.experts.36.gate_proj.weight	14	3505571304	3145728	experts/experts-layer-00047-of-00048.bin	679477248	0	6291456	54,32,73,34,85,111,117,36
projection	47	0	7	36	up	768,2048	output_by_input	model.layers.47.mlp.experts.36.up_proj.weight	14	3508717032	3145728	experts/experts-layer-00047-of-00048.bin	679477248	6291456	6291456	54,32,73,34,85,111,117,36
projection	47	0	7	36	down	2048,768	output_by_intermediate	model.layers.47.mlp.experts.36.down_proj.weight	14	3502425576	3145728	experts/experts-layer-00047-of-00048.bin	679477248	12582912	6291456	54,32,73,34,85,111,117,36
